位置 (米 m) 运行#1,相对强度 运行#1,位置 (米 m) 运行#2,相对强度 运行#2,位置 (米 m) 运行#3,相对强度 运行#3,位置 (米 m) 运行#4,相对强度 运行#4
0.0000,0.044342,0.0000,0.038757,0.0000,0.021973,0.0000,0.023087
0.0000,0.046280,0.0000,0.036407,0.0000,0.021759,0.0000,0.022583
0.0000,0.044861,0.0000,0.035904,0.0000,0.023499,0.0000,0.024002
0.0000,0.042511,0.0000,0.039261,0.0000,0.024002,0.0000,0.022171
0.0000,0.044250,0.0000,0.040070,0.0000,0.022278,0.0000,0.023804
0.0000,0.045776,0.0000,0.037430,0.0000,0.023087,0.0000,0.023804
0.0000,0.044952,0.0000,0.037628,0.0000,0.025421,0.0000,0.024811
0.0000,0.043427,0.0000,0.037125,0.0000,0.024002,0.0000,0.023804
0.0000,0.043121,0.0000,0.037537,0.0000,0.021866,0.0000,0.022064
0.0000,0.044037,0.0000,0.038849,0.0000,0.022278,0.0000,0.023804
0.0000,0.042923,0.0000,0.037933,0.0000,0.023590,0.0000,0.024109
0.0000,0.044449,0.0000,0.038544,0.0000,0.023285,0.0000,0.024002
0.0000,0.042923,0.0000,0.039062,0.0000,0.023087,0.0000,0.022980
0.0000,0.044754,0.0000,0.040283,0.0000,0.022781,0.0000,0.024506
0.0000,0.042419,0.0000,0.038849,0.0000,0.024002,0.0000,0.023697
0.0000,0.042923,0.0000,0.036514,0.0000,0.022064,0.0000,0.023193
0.0000,0.042923,0.0000,0.038757,0.0000,0.022781,0.0000,0.022369
0.0000,0.043839,0.0000,0.038452,0.0000,0.021667,0.0000,0.023499
0.0000,0.043335,0.0000,0.037842,0.0000,0.023193,0.0000,0.023697
0.0000,0.042206,0.0000,0.037842,0.0000,0.024200,0.0000,0.023697
0.0000,0.044556,0.0000,0.040070,0.0000,0.022171,0.0000,0.021561
0.0000,0.045670,0.0000,0.037735,0.0000,0.024307,0.0000,0.023804
0.0000,0.046387,0.0000,0.036011,0.0000,0.024307,0.0000,0.023285
0.0000,0.042618,0.0000,0.038849,0.0000,0.023087,0.0000,0.021057
0.0000,0.042618,0.0000,0.039261,0.0000,0.022888,0.0000,0.021057
0.0000,0.045563,0.0000,0.037430,0.0000,0.025528,0.0000,0.023697
0.0000,0.044144,0.0000,0.036514,0.0000,0.025223,0.0000,0.025330
0.0000,0.041199,0.0000,0.037018,0.0000,0.023193,0.0000,0.023285
0.0000,0.042618,0.0000,0.040176,0.0000,0.023193,0.0000,0.023804
0.0000,0.046585,0.0000,0.036514,0.0000,0.024109,0.0000,0.024612
0.0000,0.043121,0.0000,0.036514,0.0000,0.025116,0.0000,0.022980
0.0000,0.043030,0.0000,0.037628,0.0000,0.024200,0.0000,0.023193
0.0000,0.043121,0.0000,0.039062,0.0000,0.021255,0.0000,0.021973
0.0000,0.044647,0.0000,0.038345,0.0000,0.022171,0.0000,0.022171
0.0000,0.043121,0.0000,0.037323,0.0000,0.024719,0.0000,0.024918
0.0000,0.042313,0.0000,0.037735,0.0000,0.023285,0.0000,0.024109
0.0000,0.042511,0.0000,0.039261,0.0000,0.021561,0.0000,0.022675
0.0000,0.045868,0.0000,0.038956,0.0000,0.022675,0.0000,0.022888
0.0000,0.044952,0.0000,0.036011,0.0000,0.024612,0.0000,0.025620
0.0000,0.044556,0.0000,0.036407,0.0000,0.023590,0.0000,0.022781
0.0000,0.043335,0.0000,0.040283,0.0000,0.020233,0.0000,0.022278
0.0000,0.044647,0.0000,0.039978,0.0000,0.022278,0.0000,0.022888
0.0000,0.045776,0.0000,0.037628,0.0000,0.024200,0.0000,0.023392
0.0000,0.043640,0.0000,0.038849,0.0000,0.024506,0.0000,0.022781
